abstract,title,group_id
An active damping method and a self-contained active damping system that can be retrofitted to existing rockets are provided which for reducing the dispersion of rockets by using lateral thrusters to oppose any initial yawing motion. The self-contained system of the present invention can be installed in a cylindrical section of a rocket body by insertion between other flight body parts.,System and method for reducing dispersion of small rockets,F42B
"A vertical strip storage system has a support structure and a storage car connected to the support structure by cables in the fashion of a pulley block so as to be lifted and lowered relative to the support structure. The storage car is provided with a counterweight and with deflection pulleys which deflect and guide an incoming and/or outgoing strip in cooperation with stationary deflection pulleys on the ground. The support structure is a free-standing column without lateral supports and the storage car is a salient vehicle running on the outer surface of the column, wherein the column has an interior and the counterweight is guided in the interior of the column.",Vertical belt storage system,B21C
"A vertical strip storage system has a support structure and a storage car connected to the support structure by cables in the fashion of a pulley block so as to be lifted and lowered relative to the support structure. The storage car is provided with a counterweight and with deflection pulleys which deflect and guide an incoming and/or outgoing strip in cooperation with stationary deflection pulleys on the ground. The support structure is a free-standing column without lateral supports and the storage car is a salient vehicle running on the outer surface of the column, wherein the column has an interior and the counterweight is guided in the interior of the column.",Vertical belt storage system,B65H
"A vertical strip storage system has a support structure and a storage car connected to the support structure by cables in the fashion of a pulley block so as to be lifted and lowered relative to the support structure. The storage car is provided with a counterweight and with deflection pulleys which deflect and guide an incoming and/or outgoing strip in cooperation with stationary deflection pulleys on the ground. The support structure is a free-standing column without lateral supports and the storage car is a salient vehicle running on the outer surface of the column, wherein the column has an interior and the counterweight is guided in the interior of the column.",Vertical belt storage system,B65G
"An electric parking brake system for a vehicle includes an electric control unit that controls a brake device and an operating element for actuating the electric parking brake system. When the vehicle is in a resting position, actuation of the operating element alternatively applies and releases the electric parking brake according to the driver's request. The electric parking brake system includes a parking operative mode and several starting operative modes. The electric parking brake system includes at least one distance sensor for enabling a controlled power braking involving dynamics and slip control when the vehicle is moving to avoid a potential collision with an obstacle, especially when parking the vehicle.",Electric parking brake,B60T
"An electric parking brake system for a vehicle includes an electric control unit that controls a brake device and an operating element for actuating the electric parking brake system. When the vehicle is in a resting position, actuation of the operating element alternatively applies and releases the electric parking brake according to the driver's request. The electric parking brake system includes a parking operative mode and several starting operative modes. The electric parking brake system includes at least one distance sensor for enabling a controlled power braking involving dynamics and slip control when the vehicle is moving to avoid a potential collision with an obstacle, especially when parking the vehicle.",Electric parking brake,B60T
"One major problem with adenovirus gene therapy has been the T-cell mediated immune response elicited by inoculation of adenovirus, which leads to rapid clearance of the virus and loss of transgene expression. In the instant invention, the immune response to a virus is prevented by pre-treatment with adenovirus, adenoassociated virus or herpes virus infected antigen-presenting cell (APC) expressing Fas ligand with induced T-cell tolerance. Administration of AdCMVLacZ after tolerance resulted in prolonged expression of LacZ in tolerized animals compared to control treated animals. In control, but not tolerized animals, there was proliferation of CD3+ T-cell in the spleen in response to AdCMVLacZ treatment. Tolerance induction is also indicated by decreased production of interferon-&ggr; and IL-2 by peripheral T-cells isolated from treated animals after stimulation with the adenovirus infected APCs. T-cell tolerance is specific for the virus as the T-cell responses to an irrelative virus, mouse cytomegalovirus (MCMV) remained unimpaired. The instant invention utilizes virus specific T-cell tolerance, which is induced by APCs that co-express Fas ligand and virus antigens. The instant invention involves novel vectors and methods to induce tolerance to a viral vector gene therapy and prolong expression of a transgene in a viral host.",Controlling immune response to specific antigens,A61K
"One major problem with adenovirus gene therapy has been the T-cell mediated immune response elicited by inoculation of adenovirus, which leads to rapid clearance of the virus and loss of transgene expression. In the instant invention, the immune response to a virus is prevented by pre-treatment with adenovirus, adenoassociated virus or herpes virus infected antigen-presenting cell (APC) expressing Fas ligand with induced T-cell tolerance. Administration of AdCMVLacZ after tolerance resulted in prolonged expression of LacZ in tolerized animals compared to control treated animals. In control, but not tolerized animals, there was proliferation of CD3+ T-cell in the spleen in response to AdCMVLacZ treatment. Tolerance induction is also indicated by decreased production of interferon-&ggr; and IL-2 by peripheral T-cells isolated from treated animals after stimulation with the adenovirus infected APCs. T-cell tolerance is specific for the virus as the T-cell responses to an irrelative virus, mouse cytomegalovirus (MCMV) remained unimpaired. The instant invention utilizes virus specific T-cell tolerance, which is induced by APCs that co-express Fas ligand and virus antigens. The instant invention involves novel vectors and methods to induce tolerance to a viral vector gene therapy and prolong expression of a transgene in a viral host.",Controlling immune response to specific antigens,C07K
"One major problem with adenovirus gene therapy has been the T-cell mediated immune response elicited by inoculation of adenovirus, which leads to rapid clearance of the virus and loss of transgene expression. In the instant invention, the immune response to a virus is prevented by pre-treatment with adenovirus, adenoassociated virus or herpes virus infected antigen-presenting cell (APC) expressing Fas ligand with induced T-cell tolerance. Administration of AdCMVLacZ after tolerance resulted in prolonged expression of LacZ in tolerized animals compared to control treated animals. In control, but not tolerized animals, there was proliferation of CD3+ T-cell in the spleen in response to AdCMVLacZ treatment. Tolerance induction is also indicated by decreased production of interferon-&ggr; and IL-2 by peripheral T-cells isolated from treated animals after stimulation with the adenovirus infected APCs. T-cell tolerance is specific for the virus as the T-cell responses to an irrelative virus, mouse cytomegalovirus (MCMV) remained unimpaired. The instant invention utilizes virus specific T-cell tolerance, which is induced by APCs that co-express Fas ligand and virus antigens. The instant invention involves novel vectors and methods to induce tolerance to a viral vector gene therapy and prolong expression of a transgene in a viral host.",Controlling immune response to specific antigens,C12N
"One major problem with adenovirus gene therapy has been the T-cell mediated immune response elicited by inoculation of adenovirus, which leads to rapid clearance of the virus and loss of transgene expression. In the instant invention, the immune response to a virus is prevented by pre-treatment with adenovirus, adenoassociated virus or herpes virus infected antigen-presenting cell (APC) expressing Fas ligand with induced T-cell tolerance. Administration of AdCMVLacZ after tolerance resulted in prolonged expression of LacZ in tolerized animals compared to control treated animals. In control, but not tolerized animals, there was proliferation of CD3+ T-cell in the spleen in response to AdCMVLacZ treatment. Tolerance induction is also indicated by decreased production of interferon-&ggr; and IL-2 by peripheral T-cells isolated from treated animals after stimulation with the adenovirus infected APCs. T-cell tolerance is specific for the virus as the T-cell responses to an irrelative virus, mouse cytomegalovirus (MCMV) remained unimpaired. The instant invention utilizes virus specific T-cell tolerance, which is induced by APCs that co-express Fas ligand and virus antigens. The instant invention involves novel vectors and methods to induce tolerance to a viral vector gene therapy and prolong expression of a transgene in a viral host.",Controlling immune response to specific antigens,A61K
